Date,DayOfWeek,Month,Population,Events,HistoricalBloodUsage,HospitalAdmissions,BloodDonorsAvailable,Temperature,PredictedBloodDemand
2020-01-01,2,1,171958,0,174,98,34,24.799193506861577,258
2020-01-02,3,1,196867,0,187,71,55,21.590135995172037,197
2020-01-03,4,1,181932,0,132,82,82,38.86600401790578,182
2020-01-04,5,1,153694,0,74,88,88,30.089531178076566,60
2020-01-05,6,1,169879,0,117,68,93,38.34878346456796,117
2020-01-06,0,1,160268,0,110,44,43,20.085325054957877,118
2020-01-07,1,1,104886,0,78,58,68,18.67235409782332,87
2020-01-08,2,1,187337,0,176,32,26,36.395572678097594,202
2020-01-09,3,1,137498,0,68,39,23,32.02293031543128,72
2020-01-10,4,1,162727,0,220,58,109,19.664462481341033,216
2020-01-11,5,1,176324,0,243,64,79,21.733992516588444,241
2020-01-12,6,1,66023,0,123,35,74,35.01659853813278,82
2020-01-13,0,1,91090,0,110,41,35,26.3467154998984,125
2020-01-14,1,1,117221,0,220,67,48,31.76351266265227,278
2020-01-15,2,1,114820,0,202,48,33,22.958800553400273,238
2020-01-16,3,1,50769,0,69,96,98,24.530748819371915,102
2020-01-17,4,1,109735,0,97,37,52,39.76781396557763,98
2020-01-18,5,1,114925,1,260,37,40,21.190427179367965,364
2020-01-19,6,1,55311,0,136,76,42,27.66140942591285,174
2020-01-20,0,1,153355,0,201,33,76,36.110058579763304,186
2020-01-21,1,1,135305,0,188,80,112,20.98058034164645,216
2020-01-22,2,1,180608,0,159,96,39,25.380343917108267,253
2020-01-23,3,1,134478,1,275,74,38,30.377282184249708,427
2020-01-24,4,1,172537,0,232,37,122,27.029703786877562,196
2020-01-25,5,1,199503,0,77,45,96,26.487556664257937,69
2020-01-26,6,1,180523,0,246,96,52,24.062743283053088,344
2020-01-27,0,1,52747,0,240,38,37,29.666158194373125,239
2020-01-28,1,1,173855,0,108,89,92,30.60931744809026,148
2020-01-29,2,1,115725,0,182,44,36,31.332238522534066,201
2020-01-30,3,1,179981,0,100,70,38,16.759202697650732,137
2020-01-31,4,1,134654,0,198,51,89,30.77585439280122,209
2020-02-01,5,2,169346,1,61,53,139,38.830929469530815,64
2020-02-02,6,2,117435,0,99,73,120,28.52465588820209,68
2020-02-03,0,2,106886,0,181,30,53,32.88167706273111,195
2020-02-04,1,2,116803,0,295,39,103,28.918307693980445,226
2020-02-05,2,2,81551,1,162,85,93,36.36851546479947,249
2020-02-06,3,2,166216,0,219,79,107,38.23957736493922,223
2020-02-07,4,2,61394,0,261,41,104,19.605497482408982,215
2020-02-08,5,2,119092,0,215,89,30,25.921500913928163,295
2020-02-09,6,2,53890,0,202,55,110,24.809552523318033,152
2020-02-10,0,2,91606,0,63,70,146,25.13037808248197,50
2020-02-11,1,2,137313,0,252,65,132,18.138104530696896,221
2020-02-12,2,2,191699,0,81,52,99,35.34039314951798,88
2020-02-13,3,2,58792,0,188,72,26,15.894156075373381,237
2020-02-14,4,2,118148,0,238,35,35,28.205665193178923,228
2020-02-15,5,2,174243,0,195,98,35,31.54695970111728,290
2020-02-16,6,2,170174,0,204,72,31,20.18673595147193,268
2020-02-17,0,2,174358,0,104,54,54,37.64625480246989,114
2020-02-18,1,2,98555,0,231,47,40,35.96373017561983,240
2020-02-19,2,2,67159,0,259,91,36,26.777093237098132,315
2020-02-20,3,2,160510,0,169,42,51,25.278723308503466,180
2020-02-21,4,2,156530,0,264,72,60,20.9141981302775,282
2020-02-22,5,2,130077,0,124,57,46,33.249830616124086,159
2020-02-23,6,2,85920,0,70,47,85,18.293594990799104,60
2020-02-24,0,2,69457,0,221,88,111,32.00594384609458,200
2020-02-25,1,2,128953,0,182,89,80,36.06142465296034,216
2020-02-26,2,2,102995,0,136,92,22,20.711789397925592,206
2020-02-27,3,2,59692,0,218,86,122,36.66068507246891,233
2020-02-28,4,2,87065,0,108,80,74,15.83307998598771,132
2020-02-29,5,2,149299,0,138,85,20,37.81968463466313,209
2020-03-01,6,3,61534,0,282,56,120,17.95905569628245,260
2020-03-02,0,3,90397,0,231,61,64,31.143979448450814,233
2020-03-03,1,3,141387,0,251,38,45,21.252061722848545,247
2020-03-04,2,3,51016,0,199,97,140,35.913809779240346,200
2020-03-05,3,3,105591,0,132,75,65,27.807509022886663,180
2020-03-06,4,3,73247,0,114,96,141,18.381029781162535,116
2020-03-07,5,3,74300,0,113,55,50,29.27478928314946,153
2020-03-08,6,3,132798,0,120,37,78,25.197065254924578,78
2020-03-09,0,3,59268,0,53,35,48,31.53619541532753,70
2020-03-10,1,3,136807,0,242,53,125,37.047582119086485,205
2020-03-11,2,3,62185,0,192,77,36,25.23472827958546,238
2020-03-12,3,3,189643,0,153,74,43,22.24701698834649,174
2020-03-13,4,3,88044,0,253,42,128,15.36287736319022,173
2020-03-14,5,3,101214,0,199,98,110,29.37097594649687,188
2020-03-15,6,3,164752,0,263,54,44,25.05686918578584,270
2020-03-16,0,3,98984,0,291,49,51,24.36623047537072,316
2020-03-17,1,3,90774,0,224,95,135,19.573383032105312,200
2020-03-18,2,3,52568,0,258,74,101,25.751383629781856,266
2020-03-19,3,3,170151,0,142,76,129,39.61104883958421,153
2020-03-20,4,3,183767,1,223,92,56,22.44385384180611,378
2020-03-21,5,3,174375,0,191,84,45,29.992610335202507,240
2020-03-22,6,3,186330,0,227,48,83,34.41217203289167,200
2020-03-23,0,3,89504,0,197,64,91,33.72894557941329,194
2020-03-24,1,3,63986,0,227,82,125,23.21935718731477,222
2020-03-25,2,3,111858,0,161,55,105,30.27150208792126,135
2020-03-26,3,3,179312,0,210,43,72,36.78161713175393,196
2020-03-27,4,3,62666,0,168,74,111,15.386185693326949,170
2020-03-28,5,3,88660,0,108,73,118,25.89335892108269,98
2020-03-29,6,3,184633,0,92,94,30,20.606835456047634,160
2020-03-30,0,3,76854,0,256,80,50,24.715807259970973,353
2020-03-31,1,3,114505,1,61,72,119,25.399740199381043,94
2020-04-01,2,4,154488,0,89,52,106,33.666774119665924,50
2020-04-02,3,4,72662,0,167,85,34,17.34554680988608,224
2020-04-03,4,4,58392,0,69,48,120,27.814597578312764,51
2020-04-04,5,4,80535,0,271,84,48,29.104869794968632,309
2020-04-05,6,4,163569,0,215,89,133,27.35394008879511,237
2020-04-06,0,4,102256,0,180,88,126,33.296831326568004,162
2020-04-07,1,4,139135,0,205,62,127,24.594781397671184,141
2020-04-08,2,4,177478,0,233,48,149,38.6241765910019,135
2020-04-09,3,4,85222,0,139,57,103,27.045086063473533,101
2020-04-10,4,4,127373,0,143,81,34,29.28034774036994,195
2020-04-11,5,4,173684,0,62,78,69,35.638270583668735,69
2020-04-12,6,4,60965,0,254,66,42,21.88090264827806,299
2020-04-13,0,4,74538,0,115,55,78,16.880050719070063,134
2020-04-14,1,4,158066,0,86,69,109,32.69459945906206,74
2020-04-15,2,4,163252,0,226,67,134,27.075296388709468,215
2020-04-16,3,4,189182,0,279,83,94,37.41260627397487,320
2020-04-17,4,4,148806,0,115,51,142,39.56700121806085,79
2020-04-18,5,4,187982,0,85,45,37,24.97773376436823,110
2020-04-19,6,4,160989,0,231,57,69,25.38597540649152,197
2020-04-20,0,4,140982,0,75,64,137,25.19906505514316,61
2020-04-21,1,4,171626,0,124,89,127,23.113852743273153,147
2020-04-22,2,4,169176,0,249,74,86,34.54217744415993,267
2020-04-23,3,4,181278,0,157,75,97,33.97489406226819,114
2020-04-24,4,4,172409,0,217,84,94,26.96612176376312,225
2020-04-25,5,4,73419,0,92,55,58,16.116530409472468,95
2020-04-26,6,4,100015,0,199,54,44,22.738982537826836,200
2020-04-27,0,4,172096,0,197,94,40,22.307576163870937,282
2020-04-28,1,4,157059,0,57,35,34,35.27718115500646,66
2020-04-29,2,4,160687,0,78,52,67,17.189389335404368,80
2020-04-30,3,4,137939,0,89,93,105,35.1418844760676,107
2020-05-01,4,5,199213,0,267,72,135,31.729591304978577,253
2020-05-02,5,5,155878,0,207,52,69,33.31103647826123,180
2020-05-03,6,5,112623,0,258,59,88,25.805329689625587,274
2020-05-04,0,5,125450,0,177,47,23,31.993144900043955,201
2020-05-05,1,5,143426,0,133,50,97,30.225723617672898,107
2020-05-06,2,5,167845,0,165,86,28,34.22450488071574,236
2020-05-07,3,5,93585,0,232,52,140,26.1692458617063,144
2020-05-08,4,5,159225,0,193,74,134,26.82064062240756,214
2020-05-09,5,5,114044,0,223,73,120,31.089405568495504,178
2020-05-10,6,5,159556,0,111,76,116,17.701937341659708,130
2020-05-11,0,5,52693,0,284,69,100,25.906111209107934,307
2020-05-12,1,5,145259,0,56,80,62,39.298771131495144,85
2020-05-13,2,5,75939,0,257,71,114,15.93880800150114,268
2020-05-14,3,5,68047,0,94,36,25,22.900118071659847,113
2020-05-15,4,5,76105,0,236,79,86,22.85274547723427,247
2020-05-16,5,5,125766,0,288,77,119,30.836602980894316,265
2020-05-17,6,5,196779,0,233,35,31,17.645008985603496,223
2020-05-18,0,5,94262,0,225,38,85,30.713600771971528,193
2020-05-19,1,5,175117,0,204,86,21,17.376006016290486,268
2020-05-20,2,5,73776,0,230,60,100,17.373841185458275,187
2020-05-21,3,5,178376,1,264,50,89,33.20458392971206,310
2020-05-22,4,5,187848,0,137,69,134,23.10337934581991,66
2020-05-23,5,5,142787,0,122,74,107,39.4355736928437,130
2020-05-24,6,5,177948,0,212,78,25,15.933823410888873,248
2020-05-25,0,5,105016,0,228,49,46,26.12766659294985,235
2020-05-26,1,5,190546,0,261,46,101,17.82839844185059,221
2020-05-27,2,5,71959,0,86,57,107,23.784474168952716,103
2020-05-28,3,5,186602,0,283,70,139,39.955561265226265,263
2020-05-29,4,5,169101,0,258,95,43,37.22106279346329,323
2020-05-30,5,5,53748,0,288,54,121,16.208110221384924,204
2020-05-31,6,5,63545,0,272,87,53,29.081396095642084,344
2020-06-01,0,6,177659,0,168,70,66,31.19555762061089,194
2020-06-02,1,6,123530,0,106,35,43,20.23836559875314,87
2020-06-03,2,6,143557,0,57,67,84,18.627639334911258,57
2020-06-04,3,6,111087,0,256,35,37,37.60952836663809,260
